time_s,x_m,y_m,phi_rad,vx_m_s,vy_m_s,omega_rad_s
7.863333333333335,0.1429066333252209,0.35759794354127133,1.0040670581315192,-0.04359001472119658,-0.1342658255399701,-2.5608297744934356e-17
7.873333333333335,0.14247068322910014,0.35622869767313686,1.0040670581315192,-0.04243515512454653,-0.1355646933535683,-2.550452646885969e-17
7.883333333333335,0.14204542017911828,0.35485268466861253,1.0040670581315192,-0.0409788790414958,-0.13610069365272098,2.550452646885969e-17
7.893333333333334,0.14163481879044182,0.3534783828782655,1.0040670581315192,-0.039169979043497616,-0.13597447491678263,2.5608297744934356e-17
7.903333333333335,0.1412441133928892,0.35211212288837035,1.0040670581315192,-0.03699983010558689,-0.13533222141995088,-2.5608297744934356e-17
7.913333333333335,0.14087882764652582,0.3507580907489171,1.0040670581315192,-0.034521612621763544,-0.1343396074294407,-2.502905763426088e-17
7.923333333333335,0.14054341899211062,0.34941859413515736,1.0040670581315192,-0.03185148690539677,-0.13316323697078047,2.8129503902032445e-17
7.9333333333333345,0.14023999903868567,0.3480943497353817,1.0040670581315192,-0.029148973356463055,-0.1319609361512765,3.77777479925685e-17
7.943333333333335,0.13996764332939385,0.34678465064404473,1.0040670581315192,-0.026582738980992858,-0.13087803475007095,1.8295487461569207e-17
7.953333333333335,0.1397226535222369,0.3454874246451589,1.0040670581315192,-0.0242950914895226,-0.1300450304844608,9.13942447447194e-17
7.963333333333335,0.13949971389709087,0.34419924960926696,1.0040670581315192,-0.022379749013536038,-0.1295726198272884,2.4730497077142786e-16
7.9733333333333345,0.13929337191633046,0.34291542920097856,1.0040670581315192,-0.020881294934036395,-0.1295421268691215,2.9510993309296997e-16
7.983333333333335,0.13909907225954052,0.34163022001980187,1.0040670581315192,-0.019813729139105143,-0.12999202276097255,9.457899526950864e-17
7.993333333333335,0.13891323213305518,0.34033732137041817,1.0040670581315192,-0.019185650882092044,-0.13090391089296208,-2.7112691703959503e-16
8.003333333333336,0.1387324623248389,0.33903064434259406,1.0040670581315192,-0.019016655863692805,-0.1321934811077328,-5.787090365506204e-16
8.013333333333335,0.1385525537621583,0.3377053291460216,1.0040670581315192,-0.019335240870436175,-0.13371267266002335,-6.620956617652786e-16
8.023333333333335,0.13836794816771758,0.3363588368087389,1.0040670581315192,-0.020159344514740423,-0.13526763289452534,-5.295399536088554e-16
8.033333333333335,0.13817206750693178,0.33499180007192164,1.0040670581315192,-0.0214702514684572,-0.1366525284446932,-3.148579695819216e-16
8.043333333333335,0.1379583725586339,0.33360822596226725,1.0040670581315192,-0.023193924576523507,-0.13769281008016634,-1.4218860937804397e-16
8.053333333333335,0.13772168605668175,0.33221476329958327,1.0040670581315192,-0.025199954719907214,-0.13828586473928195,-4.915374007284944e-17
8.063333333333334,0.13745926214566895,0.33081910227920297,1.0040670581315192,-0.027320084916142497,-0.13842549112178967,-1.3120387916831094e-17
8.073333333333334,0.13717124405144587,0.32942800517807813,1.0040670581315192,-0.02937996374407712,-0.138201140420979,-2.624977433172779e-18
8.083333333333334,0.13686039398362598,0.32804568917187005,1.0040670581315192,-0.03123280056728916,-0.1377719094161373,-4.754688345985552e-19
8.093333333333335,0.13653118530769298,0.32667310429588636,1.0040670581315192,-0.03278337800799265,-0.13732451260612738,0.0
8.103333333333335,0.1361885954347946,0.3253082132606429,1.0040670581315192,-0.03399499915638106,-0.13702927617364316,0.0
8.113333333333335,0.13583702510042778,0.3239469534584348,1.0040670581315192,-0.034878556012756134,-0.13700662748066747,0.0
8.123333333333335,0.13547971032479417,0.3225844110298402,1.0040670581315192,-0.035469346728626824,-0.13731029154150792,0.0
8.133333333333335,0.13511874835909443,0.32121583280815436,1.0040670581315192,-0.03580104399114603,-0.13792626980672373,0.0
8.143333333333334,0.13475561586498883,0.3198373390577265,1.0040670581315192,-0.03588606823094354,-0.1387820082009146,0.0
8.153333333333334,0.13439188497207272,0.3184463662138445,1.0040670581315192,-0.03570807951780393,-0.1397591697828631,0.0
