t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
1.0600, 0.0000, 0.0000, 0.0000, 0.0000, 35.6998, -4.7600, -15.5321, 29.6133, -16.1562, 0.3500, 0.0000, 0.0000
1.0700, 0.0000, 0.0000, 0.0000, -2.3799, 14.2798, -9.5198, -15.7293, 32.9765, -15.8914, 0.3500, 0.0000, 0.0000
1.0800, 0.0000, 0.0000, 0.0000, -7.1402, -7.1397, -4.7598, -15.3419, 32.5178, -16.3950, 0.3500, 0.0000, 0.0000
1.0900, 0.0000, 0.0000, 0.0000, 0.0000, 21.4200, 0.0000, -15.9934, 31.7209, -16.4601, 0.3500, 0.0000, 0.0000
1.1000, 0.0000, 0.0000, 0.0000, 11.8999, 0.0000, -16.6600, -16.7748, 33.6978, -16.3175, 0.3500, 0.0000, 0.0000
1.1100, 0.0000, 0.0000, 0.0000, -7.1397, 19.0401, -9.5201, -15.3238, 33.5742, -16.5839, 0.3500, 0.0000, 0.0000
1.1200, 0.0000, 0.0000, 0.0000, -7.1397, 0.0000, -19.0401, -16.3031, 33.9259, -16.4153, 0.3500, 0.0000, 0.0000
1.1300, 0.0000, 0.0000, 0.0000, -2.3804, 11.8999, 0.0000, -16.8811, 33.8670, -16.5792, 0.3500, 0.0000, 0.0000
1.1400, 0.0000, 0.0000, 0.0000, -4.7598, 2.3799, -11.8999, -16.5372, 33.4813, -16.1623, 0.3500, 0.0000, 0.0000
1.1500, 0.0000, 0.0000, 0.0000, 0.0000, 19.0401, 4.7600, -15.7486, 33.3987, -16.0026, 0.3500, 0.0000, 0.0000
1.1600, 0.0000, 0.0000, 0.0000, -7.1397, 11.8999, -4.7600, -15.2804, 34.1730, -15.3109, 0.3500, 0.0000, 0.0000
1.1700, 0.0000, 0.0000, 0.0000, -7.1402, 21.4200, 4.7600, -15.4713, 34.4466, -15.3530, 0.3500, 0.0000, 0.0000
1.1800, 0.0000, 0.0000, 0.0000, -21.4200, 23.7999, -2.3799, -14.8325, 31.6069, -15.0203, 0.3500, 0.0000, 0.0000
1.1900, 0.0000, 0.0000, 0.0000, -4.7598, 0.0000, -9.5198, -14.8100, 32.3167, -15.5486, 0.3500, 0.0000, 0.0000
1.2000, 0.0000, 0.0000, 0.0000, -14.2798, 11.8999, 2.3801, -15.4072, 33.3782, -15.3926, 0.3500, 0.0000, 0.0000
1.2100, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.3801, -15.6635, 32.9269, -15.4247, 0.3500, 0.0000, 0.0000
1.2200, 0.0000, 0.0000, 0.0000, -21.4200, 19.0399, -2.3801, -15.4679, 31.8461, -16.1229, 0.3500, 0.0000, 0.0000
1.2300, 0.0000, 0.0000, 0.0000, -9.5196, 11.9002, 0.0000, -15.9362, 30.3265, -15.8642, 0.3500, 0.0000, 0.0000
1.2400, 0.0000, 0.0000, 0.0000, -4.7598, 19.0399, -26.1798, -16.4146, 29.2811, -14.2963, 0.3500, 0.0000, 0.0000
1.2500, 0.0000, 0.0000, 0.0000, -11.8999, 19.0399, -4.7600, -15.1480, 27.6081, -15.4977, 0.3500, 0.0000, 0.0000
1.2600, 0.0000, 0.0000, 0.0000, 0.0000, 16.6600, -4.7598, -15.2588, 26.4286, -15.3018, 0.3500, 0.0000, 0.0000
1.2700, 0.0000, 0.0000, 0.0000, -2.3799, 4.7600, -9.5201, -14.9102, 26.3001, -14.0808, 0.3500, 0.0000, 0.0000
1.2800, 0.0000, 0.0000, 0.0000, 9.5201, 0.0000, 9.5201, -16.1581, 26.0755, -15.8296, 0.3500, 0.0000, 0.0000
1.2900, 0.0000, 0.0000, 0.0000, -2.3799, 21.4198, -2.3801, -15.3463, 26.1205, -15.2934, 0.3500, 0.0000, 0.0000
1.3000, 0.0000, 0.0000, 0.0000, -2.3799, 19.0399, -38.0800, -16.2281, 26.8026, -13.9826, 0.3500, 0.0000, 0.0000
1.3100, 0.0000, 0.0000, 0.0000, 0.0000, 7.1399, -14.2801, -18.2828, 27.7456, -14.0681, 0.3500, 0.0000, 0.0000
1.3200, 0.0000, 0.0000, 0.0000, -4.7599, -35.6998, -2.3799, -18.3261, 29.8963, -14.7548, 0.3500, 0.0000, 0.0000
1.3300, 0.0000, 0.0000, 0.0000, -9.5199, 16.6600, -19.0401, -17.6136, 31.9766, -13.6673, 0.3500, 0.0000, 0.0000
1.3400, 0.0000, 0.0000, 0.0000, -19.0399, -2.3801, -7.1402, -16.4868, 31.7491, -12.0927, 0.3500, 0.0000, 0.0000
1.3500, 0.0000, 0.0000, 0.0000, 4.7600, 19.0399, -7.1399, -17.1473, 32.0552, -12.5002, 0.3500, 0.0000, 0.0000
1.3600, 0.0000, 0.0000, 0.0000, -14.2800, 7.1399, 4.7600, -16.4527, 33.4433, -13.6556, 0.3500, 0.0000, 0.0000
1.3700, 0.0000, 0.0000, 0.0000, 7.1400, 9.5198, 0.0000, -15.8258, 32.3144, -14.6067, 0.3500, 0.0000, 0.0000
1.3800, 0.0000, 0.0000, 0.0000, 11.9000, 2.3799, -2.3799, -16.3104, 34.1008, -15.7371, 0.3500, 0.0000, 0.0000
1.3900, 0.0000, 0.0000, 0.0000, 0.0000, 2.3800, -11.8999, -15.5360, 32.7645, -14.0701, 0.3500, 0.0000, 0.0000
1.4000, 0.0000, 0.0000, 0.0000, 2.3800, 0.0000, 7.1399, -16.1844, 33.7592, -15.5422, 0.3500, 0.0000, 0.0000
1.4100, 0.0000, 0.0000, 0.0000, -2.3800, 4.7600, -4.7600, -16.4460, 35.0772, -17.8210, 0.3500, 0.0000, 0.0000
1.4200, 0.0000, 0.0000, 0.0000, 0.0000, 30.9399, -9.5198, -16.3396, 34.1046, -16.1911, 0.3500, 0.0000, 0.0000
1.4300, 0.0000, 0.0000, 0.0000, -2.3800, 9.5201, 0.0000, -16.0818, 35.0566, -16.4229, 0.3500, 0.0000, 0.0000
1.4400, 0.0000, 0.0000, 0.0000, 0.0000, 7.1399, 19.0399, -16.8652, 34.8259, -17.8639, 0.3500, 0.0000, 0.0000
1.4500, 0.0000, 0.0000, 0.0000, -2.3800, 14.2801, -11.8999, -16.5140, 34.6604, -16.5798, 0.3500, 0.0000, 0.0000
1.4600, 0.0000, 0.0000, 0.0000, 7.1400, 9.5201, 0.0000, -16.9588, 33.8169, -15.5968, 0.3500, 0.0000, 0.0000
